Question,Response
crer les documents dinventaires physique,"application fiori app cration de document dinventaire unique. donnes dentre et instructions 
1entrer divisionmagasin
division jf06
magasin h006
date de document et date prvue pr cmptagesont remplis automatiquement par le sytme
2appuyer sur entrer, lcran suivant saffiche
3entrer le numro darticle 30000011
entrer le lot ou laisser le champ vide, le systme va prendre en charge tous les lots de larticle
cliquer sur entrer
4 cliquer sur enregistrer et noter le document dinventaire gnr 10xxxxxxx
5 rpter les tapes prcdentes pour les combinaisons divisionmagasinarticle cidessous 
division jf06
magasin h18c
article 30000018

division jf06
magasin h001
article 30000093. rsultats attendus document dinventaire physique xxxxxxxx cre"
imprimer les documents dinventaire physique,"application fiori app imprimer document dinventaire. donnes dentre et instructions entrer document dinventaire physique cre lors de ltape 1.1 le systme va choisir le dernier document cre
exercice comptable 
division jf06
puis cliquer sur le boutton excuter,
dans le champs unit de sortie cliquer sur licne la droite, cliquer sur rechercher et slectionner la ligne lp01.
puis cliquer sur aperu avant impression et le systme va afficha laperu
puis cliquer sur imprimer. systme va imprimer le document.. rsultats attendus impression du document dinventaire saffiche avec succs"
saisir comptage dinventaire,"application fiori app saisir comptage. donnes dentre et instructions 
1.entrer
numro du document dinventairer le numro du document cre lors de ltape 1.1, le systme saisie automatiquement le dernier documet dinventaire cre
exercice comptable
entrer date de comptage le systme propse automatiquement la date actulle

appuyer sur entrer.
3.entrer quantit pour chaque combinaispn darticle et lot
exp article 30000011 qty10000

appuyer sur entrer et cliquer sur enregistrrer
comptage saise pour le document diventaire . xxxxx
4 rpter pour chaque document dinventaire cre lor de ltape 1.1. rsultats attendus comptage saisie pour document dinventaire. xxxx"
demander nouveau dinventaire physique,"application fiori app demander nouveau comptage. donnes dentre et instructions 

1. entrer donnes cidessous,
numro du document dinventairer le numro du document cre lors de ltape 1.1, le systme saisie automatiquement le dernier documet dinventaire creexercice comptable
date de comptage planifie le systme propse automatiquement la date actulle
date du document le systme propse automatiquement la date actulle
cliquer sur enterer puis cliquer sur enregistrer,un nouveau document dinventaire sera cre

3 refaire ltape 2.1 pour le nouveau document dinventaire
. rsultats attendus document dinventaire cre"
liste des carts dinventaire,"application 
fioriapptraiter rsultats du comptage. donnes dentre et instructions 1. entrer donne cidessous,
article
division jf06
magasin h006
document dinventaire le numro du document cre lors de ltape 2.2, le systme saisie automatiquement le dernier documet dinventaire cre
lot optional
cliquer sur excuter,
list des carts dinventaire est affiche.
rpter cette tape pour le reste des documents dinventaire. rsultats attendus raport des liste des carts dinventaire executer avec succset ffiche le rsultat pour la liste de slction"
accepter et enregistrer les carts dinventaire,"application fiori app enregistrer document dinventaire. donnes dentre et instructions 1 entrer
numro dde document dinventaire entrer le numro dinventaire avec crts de ltape 2.2
exercice comptable
date comptable
appuyer sur entrer,
3.si lcart est un bonus slct la ligne mvt 701 et la raison pour mouvement erreur denregistrement
si lcart est un bonus slct la ligne mvt 702 et la raison pour mouvement quantit non dclare. et cliquer sur enregistrer vous pouvez aussi laisser la raison pour mouvement vide cest optionel

4 rpter pour chaque document dinventaire avec carts.
5 notez le document drticle gnr. . rsultats attendus document des carts dinventaire. xxxx enregistrer avec doc. xxxx"
afficher comptage,"application fiori app afficher comptage. donnes dentre et instructions 1numro dde document dinventaire entrer le numro dinventaire avec crts de ltape 2.2
3. exercice comptable
4.entrer,
afficher aperu de comptage xxxxx lcran de laperu appar avec succs. rsultats attendus afficher aperu de comptage xxxxx lcran de laperu appar avec succs"
afficher document darticle et enregistrements comptables vrifier fico document gnr,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 
1 selectinnez
sur 1er liste droulanteafficher
sur 2eme liste droulante document article
entrer le n document document articme cre lors de ltape 2.4
2 dans gnralits slctionnez info document et cliquer sur document fi pour voir la liste des documents comptables. rsultats attendus liste des documents comptable est affiche"
afficher stock,"application fiori app stock artcilces multiples. donnes dentre et instructions entrez les informations du champ cidessous 
division jf06
magasin h006
article 30000011
rpter pour la combinaison suivante 
division jf06
magasin h18a
articlel 30000013
division jf06
magasin h18c
article 30000018

division jf06
magasin h001
article 30000093
cliquer sur lancer. rsultats attendus stock de division afficher proprement"
nan,application nan. donnes dentre et instructions nan. rsultats attendus nan
cration en mass des documents inventaires,"application fiori app create pi documents regular stock. donnes dentre et instructions 
1dans la section base de donnes, entrer le suivant 
division jf06


2 dans la section pilotage, selectinnez le suivant

cocher la box gnrer batch input

3 dans la section create pi documents regular stock, cocher si besoin

cocher la box uniquement articles avec stock nul

4 dans la section donnes de lentte du document dinventaire, 

cocher la box pour activer bloc enregistrement

5 cliquer sur excuter

6 cliquer sur session de proocess

7 selectionnez la ligneet cliquer sur procder

selectinnez context et cliquer sur procder
les documents dinventaire t cre avec succs pour la division. rsultats attendus documents dinventaires cres"
afficher ordre planifi,"application fiori app affichage dordre planifi. donnes dentre et instructions titre dentte afficher ordre planifi cran initial
1. cliquez sur f4, et entrez les donnes suivantes 
article 30000006
division de production jf01
2. cliquez sur executer
3. double cliquez sur le numro de lordre planifi , puis cliquez sur entrer
4. vrifiez les informations suivantes 
article 30000006
unit de planification jf01
qt dordre 1000
dates base dbut date de lxecution du script, peut tre nimporte quelle date au future
dates base fin date de lxecution du script, peut tre nimporte quelle date au future
division de production jf01
magasin ap01
version de fabrication n001. rsultats attendus 1. lordre planifi est affich xxxx"
convertir ordres planifis en ordres de process,"application fiori app convertir ordres planifis en ordres de process. donnes dentre et instructions titre dentte conversion collective des ordres planifis cran initial
1. entrer les dtails sur fiori app
2. article 30000006
 division planif jf01
3. process order type zpo1 
et cliquez sur executer.
4. dans lcran suivant, choisissez vrifier les dtails pour l aquantit et dates puis cliquez sur le button save.
5. cliquez sur ouisi un lessage sur le calcul du cot saffiche lordre de process se cre, notez le numro de lordre de process pour les tapes suivantes. rsultats attendus 1. lordre planifi est converti en ordre de process 00000100xxxx"
lancer lordre de process,"application fiori app lancement des ordres de process. donnes dentre et instructions titre dentte validationlancement dordres process accs
1. entrez les donnes suivantes 
 division jf01
 type dordre zpo1
2. cliquez sur executer
3. selectionnez la ligne correspondane lordre de process cre
4. cliquez sur lancer ordre 
5. double cliquez sur le numro de lordre de process, allez la vue affectation, et notez le numro de lot de contrle. rsultats attendus 1. message lancement excut saffiche.
2.ordre de process lanc et slectionnez lordre marqu
numro de lot de contrle 300000xxxxx cre"
entrez date de prlvement et heure de prlvement de lchantillon,"application fiori app modifier chantillon. donnes dentre et instructions titre dentte modifier chantillon
3. cliquez sur le button droite du champ chantillon , allez la section l echantillon pour le lot de contrle actuel, entrez le numro de lot de contrle de ltape prcedente et cliquez sur rechercher, choisissez le premier chantillon cat 1 pressez entrer, si un message davertissement saffiche, double cliquez sur entrer, notez numro dchantillon
3. dans lcran suivant, allez la vue dtailechant
4.en bas de lcran entrez la date et heure du prlvement de lchantillon.
5. puis sauvegarder lchantillon. rsultats attendus 1. date de prlvement et heure de prlvement de lchantillon misent jour"
imprimer lchantillon de contrle,"application fiori app traiter prlvement dchantillons. donnes dentre et instructions titre dentte traiter prlvement dchantillons
1. selectionnez le numro de prlvement en utilisant le numro de lot de contrle
2. cliquez sur entrer
3. selectionnez la ligne de lchantillon imprimer
4. cliquez sur imprimer tiquette en haut de lcran
notez dans le cas o ltiquette est dj imprim, un message davertissement saffiche. dans ce cas, cliquez sur continuer. rsultats attendus spool gner"
imprimer tiquette pour lchantillon,"application fiori app afficher la demande de spool. donnes dentre et instructions titre dentte pilotage des sorties slection dordres spool
1. entrez les donnes suivantes 
 cr par votre id sap
 date de cration la date daujourdhui
2. cliquez sur executer.
3. vrifier les demandes de spool et cliquez sur line suivant 
4. vrifiez ltiquette de contrle affiche. rsultats attendus ltiquette imprimer saffiche"
"saisie des rsultats de contrle lors de la production
contrle de la production","application fiori app saisie des rsultats de contrle rserve de travail hirarchique. donnes dentre et instructions titre dentte rserve de travail saisie rsultats
1. entrez les donnes suivantes
2. allez la vue numro lot de contle et entrez le numro de lot de contrle et cliquez sur le button executer
4. dans le panneau gauche, ouvrir le noeud corrspondant au lot de contrle et ordre de process.
5. cliquez sur le noeud au niveau de lopration et cliquez sur le noeud de lchantillon pour afficher les caractritiques de contrle
6. saisissez les rsultats de contrle pour la caractrisitque correpondente
7. les caractritiques de contrle sont affichs droite pour la saisie des rsultats
8. entrez les valeurs des rsultats
9. selectionnez les caractrisitques et cliquez sur clture
10. cliquez sur la checkbox accepter et cliquez sur le button suite
11. rptez la mme chose pour les autres caractristiqueset enregistrer
 puis cliquez sur continuer
notez aprs sauvegarde licne de lchantillon et caracteristiques deviennent un carreau vert
12. rptez les mmes tapes pour les autres oprationso les rsultats mic doivent tre saisies. rsultats attendus saisie des rsultats de contrle complte avec succ pour le lot de contrle 300000xxxxx"
crer deuxime chantillon,"application fiori app crer chantillon avec rfrence. donnes dentre et instructions titre dentte crer nouveau prlvement dchantillons avec rfrence
entrez les donnes suivantes
1. lot de contrle 3xxxxxxxxx
2. dfilez vers le bas, dans la section saisie des rsultats, cochez crer pts de ctrle radio button
3. executer
4. lchantillon cre saffiche dans lcran suivant, cliquez sur le button en bas traiter prlvement dchantillon 
5. notez le nouveau numro dchantillon
6. cliquez sur le buton retour. rsultats attendus chantillon est cre avec numro de prlvement"
entrez date de prlvement et heure de prlvement de lchantillon,"application fiori app modifier chantillon. donnes dentre et instructions titre dentte modifier chantillon
3. entrez le numro de lchantillon gnr lors de ltape prcdente 20000xxxx
 dans lcran suivant, allez la vue dtailechant
4.en bas de lcran entrez la date et heure du prlvement de lchantillon.
5. puis sauvegarder lchantillon. rsultats attendus 1. date de prlvement et heure de prlvement de lchantillon misent jour"
"saisie des rsultats de contrle lors de la production
contrle de la production","application fiori app saisie des rsultats de contrle rserve de travail hirarchique. donnes dentre et instructions titre dentte rserve de travail saisie rsultats
1. entrez les donnes suivantes
2. allez la vue numro lot de contle et entrez le numro de lot de contrle et cliquez sur le button executer
4. dans le panneau gauche, ouvrir le noeud corrspondant au lot de contrle et ordre de process.
5. cliquez sur le noeud au niveau de lopration et cliquez sur le noeud de lchantillon pour afficher les caractritiques de contrle
6. saisissez les rsultats de contrle pour la caractrisitque correpondente
7. les caractritiques de contrle sont affichs droite pour la saisie des rsultats
8. entrez les valeurs des rsultats
9. selectionnez les caractrisitques et cliquez sur clture
10. cliquez sur la checkbox accepter or rejeter et cliquez sur le button suite
11. rptez la mme chose pour les autres caractristiques et enregistrer
 puis cliquez sur continuer
notez aprs sauvegarde licne de lchantillon et caracteristiques deviennent un carreau vert
12. rptez les mmes tapes pour les autres oprationso les rsultats mic doivent tre saisies. rsultats attendus saisie des rsultats de contrle complte avec succ pour le lot de contrle 300000xxxxx"
confirmation manuel de la production et sortie de marchandises,"application app 
confirmation dune phase dordre de process. donnes dentre et instructions titre dentte saisir le relev dheures pour lordre de process
1. entrez les donnes sur les champs 
2. ordre de process 1000xxx
3. phase 00xx et puis appuyez sur entrer.
4. dans lcran suivant entrez les donnes suivantes 
5.rendement entrer une quantit partielle de lordre de process
6. dtails des activits
7. equipe 1
8. date enregistrement date de lxecution du script
9. text confirmation optional
10. motif cart optional
11. une fois tous les drtails entrs, cliquez sur le button en haut mouvements de stocks.
12. dans lcrn suivant vrifi les dtails proposs pour les valeurs des composants de larticle
quantit
magasin
lot
notez mouvement de stock peuttre vide, puisque pas toute les phases ont des composants consommer 
13. cliquez sur enregistrer
14.puis cliquez sur enregistrer et la confirmation pour lordre de process.
15. rptez la mme chose pour les autres phases de lordre de process. rsultats attendus confirmation confime avec succs"
confirmation de reception de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions header title goods receipt order uset name
1. selectionnez entr de marchandises 
2. sur 2eme liste droulante selectionnez ordre
3.entrez dordre de process et appuyez sur entrer
4. larticle pour entr de marchandises saffiche, modifiez la date document la date actuelle 
5.les dtails sur la rception sont affichs
6. mettez jour quantit division, magasin, lot soit en enregistre lentr sur un lot existant, soit un nouveau lot sera cre automatiquement 
7. puis cliquez sur post ok 
8.cliquez sur le button vrifier, pour vrifier les information entres, et not le numro de lot gnr pour les tapes suivantes
9. puis cliquez sur le button enregistrer. rsultats attendus entr de marchandises effectu avec succs
lot cre"
saisie des rsultats de contrle pour la rception de marchandises cre,"application fiori app saisie des rsultats de contrle rserve de travail hirarchique. donnes dentre et instructions titre dentte rserve de travail saisie rsultats
1. entrez les donnes suivantes
2. division jf01
3. lot dorigine 04, entrez numro de lot 0000000xxx et cliquez sur executer.
4. dans le panneau gauche, ouvrir le noeud corrspondant au lot de contrle et ordre de process.
5. cliquez sur le noeud au niveau de lopration et cliquez sur le noeud de lchantillon pour afficher les caractritiques de contrle
6. pour les caractristiques marques avec la moyenne pondr, les rsultats sont calculs automatiquement
7. pour le reste des caractristiques, ils proviennent de lims vrifier les valeurs, ou entrer les valeurs manuellement.
9. selectionnez les caractrisitques et cliquez sur clture
10. cliquez sur la checkbox accepter or rejeter et cliquez sur le button suite
11. rptez la mme chose pour les autres caractristiques et enregistrer. rsultats attendus les rsultats de contrle pour lentr de marchandises est enregistr avec succs"
"confirmez dcision dutilisation pour la gr de lodre de process
04 inspection type","application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions titre dentte slection des lots de contrle
1. entrez les donnes suivantes
 lot cre le date of script execution
 division jf01
 article 30000006
 origine lot de ctrl 04
2. cliquez sur executer
3. 1. selectionnez le lot de contrle li lordre de process et cliquez sur dcision dutilisation
3. 2. cliquez sur highlighted in screenshot, ct de caractristiques appropries pour d.u.
3. 3. allez la section dcision dutilisation
4. dans le champ code du
5. selectionnez le code de dcision dutilisation appropri.
6. cliquez sur la vue stock de lot de contrle
7. cliquez sur le button proposal
8. cliquez enregistrer .. rsultats attendus 	
 dcision dutilisation enregistrer"
"confirmez dcision dutilisation pour la gr de lodre de process
03 inspection type","application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions titre dentte slection des lots de contrle
1. entrez les donnes suivantes
 lot cre le date of script execution
 division jf01
 article 30000006
 origine lot de ctrl 03
2. click on execute
3. selectionnez le lot de contrle li lordre de process
4. cliquez sur dcision dutilisation
5. entrer le numro de lot
6. selectionnez le code de dcision dutilisation appropri.
6. cliquez enregistrer .. rsultats attendus usage decision for inprocess inspection lot saved."
afficher les caractrisitiques du lot pour voir les rsultats dinspection,"application fiori app afficher lot. donnes dentre et instructions titre dentte afficher lot
1. division jf01
2. article 30000006
3. numro de lot et cliquez sur entrer
4. puis allez la vue classification et vrifier les valeurs des caractristiques, doivent tre mis jour par les valeurs du lot de contrle. rsultats attendus les valeurs des caractristiques du lot 0000000xxx sont mis jour par les valeurs du lot de contrle"
cost analysisvariance analysis report of process order,"application fiori app display process order. donnes dentre et instructions entrez 
1.le numro de lordre de process 100xxxx et appuyez sur entrer
2. follow steps plus saut cots analyse cliquez sur le button en haut slectionner mise en forme et appuyer sur entrer. rsultats attendus 1. the costvariance report will be display for process order.
00000100xxxx"
complter techniquement la production standard,"application fiori app modification dun ordre de process. donnes dentre et instructions titre dentte modifier ordre de process cran initial
1. entrez les donnes suivantes
 ordre de process 1000xxxx
2. appuyer sur entrer
3. selectionnez plus ordre de process fonctions limiter le traitement clture technique
4. cliquez sur sauvegarder. rsultats attendus clture technique de lordre de process. status teco"
monitorer ca,"application fiori app afficher commande dachat. donnes dentre et instructions 1 cliquer afficher commande dachat
2 cliquer sur autre commande
3 dans le champ cde achat entrez le numro de la commande dachat 4700000002
4 cliquez sur autre document et vrifier les dtails de la ca. rsultats attendus commande dachat affiche"
cration de la livraison entrante,"application fiori app crer livraison entrante. donnes dentre et instructions entrez le suivant 

1 dans le champs commande dachat entrez le numro de la commmande dachat 4700000002
et cliquer sur entrer. 
2 cliquez sur la vue entr de stock, dans quantit entre, entrez la quantit reue vrifier que la quantit livre est la mme que la quantit entre
3 entrer magasin am01 et cliquer sur sauvegarder. 
4 noter le document de la livraison entrante 18xxxxxxx. rsultats attendus livraison cre sous le numro xxxxxxxxxx"
rception de marchandise en rfrence la livraison entrante,"application fiori app 
modification de livraison entrante. donnes dentre et instructions entrez le suivant 

1 dans le champ mivraison entrante entrez le numro de la livraison entrante cre lors de ltape 2.1 puis cliquez sur entrer. 
2cliquez sur plus puis sur sauter, cliquez sur post puis sur donnes article
dans le champ date fabrication entrez la date prsente
3vrifier la quantit dans le champ quantit entre et cliquez sur enregistrer em icone en haut du document si le button nest pas affich cliquez sur plus puis sur editer puis sur enregistrer em
4 notez le document article gnr 50xxxxxxxx. rsultats attendus livraison cre sous le numro xxxxxxxxxx"
aperu de stock la date comptable,"application fiori app 
stocks la date comptable. donnes dentre et instructions entrer les informations suivantes 
numro darticle 10000002
division jf02
magasin am01
cliquez sur excuter. . rsultats attendus stocks la date comptable affich avec succs"
enregistrer rsultat pour le lot de contrle cre lors de la rception de marchandise,"application fiori apptraiter les lots de contrle rserve de travail. donnes dentre et instructions 1. entrer les donnes suivantes
 lot cre le date dexcution du script
 division jf02
 article 10000002
 origine lot de contrle 01
2.cliqueez sur le button excuter
3.cliquez sur plus puis sur modifier mise en forme,
 sur la liste droite cliquez sur cr par puis cliquez sur la flche cidessous puis cliquez sur licone reprendre.

4 selectinnez lot dinspection et cliquez sur rsultats
5 selectinnez le lab cliquez sur pts ctrle aff optional
4.entrez la valeur du rsultat pour chaque caratristiques et cliquez sur licne accepter en se basant sur larticle


5.selectinnez caratristique et cliquer sur licne clturer

6.rpter la mme chose pour les autres caratristiques et sauvegarder.
un pop up mgs va appartre pour confimer la valuation du point de contrle.
cliquez sur accepterrejeter et appuyesur continuer.
. rsultats attendus lot de contrle modifi rsultats enregistrs"
dcision dutilisation pour lot de contrle aprs enregistrement des rsultats,"application fiori apptraiter les lots de contrle rserve de travail. donnes dentre et instructions 1. entrer les donnes suivantes
 division jf02
 article 10000002
 origine lot de contrle 01
3 excuter, tu vas trouver la ligne du lot de contrle cre xxxx
4 selecinnez la ligne du lot de contrle et cliquez sur dcision dutilisation,
5 selectinnez dans le champ code d.u matire premire et cliquez sur accepter
6dans la vue stocks de lots de contrle, dans le champ dans stock libre entrez la quantit mettre dans le stock libre. 
cliquez sur sauvegarder un message va qppartre dcision dutilisation sauvegard pour lot xxx.
le lor de contrle ne va pas appartre aprs avoir cliquer sur rafraichir.
. rsultats attendus lot de contrle modifi rsultats enregistrs"
valider article document comptable,"application fiori app
enregistrer mouvement de stock. donnes dentre et instructions 1cliquez sur lapp enregistrer mouvement de stock.
2 sur 1er liste droulante selectinnez afficher et sur 2eme liste droulante document article 
3 entrez document article numro du document article de ltape 2.2
4 apputyez sur entrer
5 vrifiez le document article
6 dans gnralits slctionnez info document et cliquer sur document fi pour voir la liste des documents comptables. rsultats attendus document article"
afficher stock,"application fiori app
afficher synthse des stocks
. donnes dentre et instructions 1 cliquez sur lapp afficher synthse des stocks.
2 entrez les informations suivantes 
 article 10000002
 division jf02
3 executer. rsultats attendus synthse des stocks affiche avec succs"
monitorer ca,"application fiori app afficher commande dachat. donnes dentre et instructions 1 cliquer afficher commande dachat
2 cliquer sur autre commande
3 dans le champ cde achat entrez le numro de la commande dachat 4700000002
4 cliquer sur autre commande et cliquez sur historique de la commande dachat et vrifier les dtails
. rsultats attendus commande dachat affiche"
afficher synthse des stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000147
division sf01
magasin rec1
lot 000000xxx1
cliquez sur excut. rsultats attendus stock affich pour le lot affich dans stock bloqu"
cre un nouveau lot pour larticle dclass en rfrence au lot prcdent,"application fiori app cration dun lot. donnes dentre et instructions 1. entrer les informations suivantes 
 article 30000147
 division sf01
 magasin rec1
 lot laisser vide
 article rfrence 30000147
 lot rfrence 000000xxx1
 division rfrence 
appuyez sur entrer et cliquez sur oui
2. cliquez sur la vue classification pour vrifier si la classification est bien copie du batch de rfrence
3. enregistrer
notez le numro de lot pour les tapes suivantes. rsultats attendus un nouveau lot pour larticle dclass est cre"
transfert de stock de bloqu libre,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1. selectionnez transfert
2. sur 2eme liste droulante selectionnez autre, la droite, ajoutez type de mvt 343
3. dans la vue transfert en bas ,de section ,entrez les donnes suivantes 
 article 30000147
 division sf01
 magasin rec1
 lot 000000xxx1
 dans la section vers 
 magasin rec1
 lot 000000xxx2
 qt en unit saisie allez la vue quantit entrer 500 to
 cliquez sur le button contrler 
3. cliquez sur enregistrer. rsultats attendus transfert de stock de bloqu usage libre"
afficher synthse des stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000147
division sf01
magasin rec1
lot 000000xxx2
cliquez sur excut. rsultats attendus stock affich"
cration manuel de lordre de process de rework,"application fiori app cration dun ordre de process . donnes dentre et instructions 1. entrez les donnes suivantes 
 article 30000147
 division de production sf01
 type dordre zpor
2. cliquez sur suite
3. entrez les donnes suivantes 
 qt totale 1000
 date dbut date actuelle
 date fin date actuelle
4. allez la vue donn.base, et vrifiez si la version de fabrication est r001, puis continuez
cliquez sur le button liste dartcles en haut,, et ajoutez le numro de lot pour larticle de rework, et mettez jour le lot et magasin
5. cliquez sur validerlancer en haut
un message sur le calcul de cut , cliquez sur oui et lordre de process va tre cre, notez le numro de lordre de process. rsultats attendus 1.ordre de process rework cre 100xxxx"
confirmation manuel de la production et sortie de marchandises,"application app 
confirmation dune phase dordre de process. donnes dentre et instructions titre dentte saisir le relev dheures pour lordre de process
1. entrez les donnes sur les champs 
2. ordre de process 1000xxx
3. phase 00xx et puis appuyez sur entrer.
4. dans lcran suivant entrez les donnes suivantes 
5.rendement entrer une quantit partielle de lordre de process
6. dtails des activits
7. equipe 1
8. date enregistrement date de lxecution du script
9. text confirmation optional
10. motif cart optional
11. une fois tous les drtails entrs, cliquez sur le button en haut mouvements de stocks.
12. dans lcrn suivant vrifi les dtails proposs pour les valeurs des composants de larticle
quantit
magasin
lot
notez mouvement de stock peuttre vide, puisque pas toute les phases ont des composants consommer 
13. cliquez sur enregistrer
14.puis cliquez sur enregistrer et la confirmation pour lordre de process.
15. rptez la mme chose pour les autres phases de lordre de process. rsultats attendus confirmation confime avec succs"
stock overview,"application fiori app display stock overview. donnes dentre et instructions 1.enter following data and click on execute
 material 30000147
 plant sf01
 storage location rec1
 batch 0000005675
2. click on execute
. rsultats attendus 1. stock displayed"
afficher synthse des stocks stock usage libre,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000147
division sf01
magasin rec1
lot 000000xxx2
cliquez sur excut. rsultats attendus stock affich"
confirmation de reception de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1. selectionnez entr de marchandises 
2. sur 2eme liste droulante selectionnez ordre
3.entrez dordre de process et appuyez sur entrer
4. larticle pour entr de marchandises saffiche, modifiez la date document la date actuelle 
5.les dtails sur la rception sont affichs
6. mettez jour quantit division, magasin, lot fr01 
7. puis cliquez sur post ok 
8.cliquez sur le button vrifier, pour vrifier les information entres, et not le numro de lot gnr pour les tapes suivantes 000000xxx3
9. puis cliquez sur le button enregistrer. rsultats attendus entr de marchandises effectu avec succs
lot cre"
saisie des rsultats de contrle pour la rception de marchandises cre,"application fiori app saisie des rsultats de contrle rserve de travail hirarchique. donnes dentre et instructions titre dentte rserve de travail saisie rsultats
1. entrez les donnes suivantes
2. division sf01
3. lot dorigine 04, entrez numro de lot 0000000xxx3 et cliquez sur executer.
4. dans le panneau gauche, ouvrir le noeud corrspondant au lot de contrle et ordre de process.
5. cliquez sur le noeud au niveau de lopration et cliquez sur le noeud de lchantillon pour afficher les caractritiques de contrle
6. pour les caractristiques marques avec la moyenne pondr, les rsultats sont calculs automatiquement
7. pour le reste des caractristiques, ils proviennent de lims vrifier les valeurs, ou entrer les valeurs manuellement.
9. selectionnez les caractrisitques et cliquez sur clture
10. cliquez sur la checkbox accepter or rejeter et cliquez sur le button suite
11. rptez la mme chose pour les autres caractristiques et enregistrer. rsultats attendus les rsultats de contrle pour lentr de marchandises est enregistr avec succs"
"confirmez dcision dutilisation pour la gr de lodre de process
04 inspection type","application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions titre dentte slection des lots de contrle
1. entrez les donnes suivantes
 lot cre le date of script execution
 division sf01
 article 30000147
 origine lot de ctrl 04
2. cliquez sur executer
3. 1. selectionnez le lot de contrle li lordre de process et cliquez sur dcision dutilisation
3. 2. cliquez sur highlighted in screenshot, ct de caractristiques appropries pour d.u.
3. 3. allez la section dcision dutilisation
4. dans le champ code du
5. selectionnez le code de dcision dutilisation appropri.
6. cliquez sur la vue stock de lot de contrle
7. cliquez sur le button proposal
8. cliquez enregistrer .. rsultats attendus 	
 dcision dutilisation enregistrer"
afficher synthse des stocks stock usage libre,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000147
division sf01
magasin rec1
lot 000000xxx3
cliquez sur excut. rsultats attendus stock affich dans usage libre"
cost analysisvariance analysis report of process order,"application fiori app display process order. donnes dentre et instructions entrez 
1.le numro de lordre de process 100xxxx et appuyez sur entrer
2. follow steps plus saut cots analyse cliquez sur le button en haut slectionner mise en forme et appuyer sur entrer. rsultats attendus 1. the costvariance report will be display for process order.
00000100xxxx"
complter techniquement la production standard,"application fiori app modification dun ordre de process. donnes dentre et instructions titre dentte modifier ordre de process cran initial
1. entrez les donnes suivantes
 ordre de process 1000xxxx
2. appuyer sur entrer
3. selectionnez plus ordre de process fonctions limiter le traitement clture technique
4. cliquez sur sauvegarder. rsultats attendus clture technique de lordre de process. status teco"
nan,application nan. donnes dentre et instructions nan. rsultats attendus nan
nan,application nan. donnes dentre et instructions nan. rsultats attendus nan
afficher synthse des stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000147
division sf01
magasin rec1
lot 000000xxx1
cliquez sur excut. rsultats attendus stock affich pour le lot affich dans stock bloqu"
transfert de stock de bloqu libre,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1. selectionnez transfert
2. sur 2eme liste droulante selectionnez autre, la droite, ajoutez type de mvt 343
3. dans la vue transfert en bas ,de section ,entrez les donnes suivantes 
 article 30000147
 division sf01
 magasin rec1
 lot 000000xxx1
 dans la section vers 
 magasin rec1
 lot 000000xxx1
 qt en unit saisie allez la vue quantit entrer 500 to
 cliquez sur le button contrler 
3. cliquez sur enregistrer. rsultats attendus transfert de stock de bloqu usage libre"
cre un nouveau lot pour larticle dclass en rfrence au lot prcdent,"application fiori app cration dun lot. donnes dentre et instructions 1. entrer les informations suivantes 
 article 30000151 article dclass
 division sf01
 magasin rec1
 lot laisser vide
 article rfrence 30000147
 lot rfrence 000000xxx1
 division rfrence 
appuyez sur entrer et cliquez sur oui
2. cliquez sur la vue classification pour vrifier si la classification est bien copie du batch de rfrence
3. enregistrer
notez le numro de lot 000000xxx2 pour les tapes suivantes. rsultats attendus un nouveau lot pour larticle dclass est cre"
larticle actuel est dclass un autre article,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1. selectionnez transfert
2. sur 2eme liste droulante selectionnez autre, la droite, ajoutez type de mvt 309
3. dans la vue transfert en bas ,de section ,entrez les donnes suivantes 
 article 30000147
 division sf01
 magasin rec1
 lot 000000xxx1
 dans la section vers 
 article 30000151
 magasin rec1
 lot 000000xxx2
 qt en unit saisie allez la vue quantit entrer 500 to
 cliquez sur le button contrler 
3. cliquez sur enregistrer. rsultats attendus larticle actuel est dclass un autre article transformation"
afficher synthse des stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000147
division sf01
magasin rec1
lot 000000xxx1
cliquez sur excut. rsultats attendus stock affich pour le lot affich dans stock bloqu"
